vayuIndex (APIx) Institutional Report - MoSPI CPI Sub-Class 58 (Passenger Transport by Air)
Generated At,2026-08-26 05:15:52 UTC
Methodology,Elementary Level: Jevons Geometric Mean | Upper Level: Laspeyres Weighting (DGCA Seats)

Index Date,Base Period,APIx Index Value,Status
2026-08-26,2026-08-01,128.6314,Final
2026-08-24,2026-08-01,196.7728,Final
2026-08-23,2026-08-01,199.9443,Final
2026-08-22,2026-08-01,203.2905,Final
2026-08-21,2026-08-01,202.5246,Final
2026-08-20,2026-08-01,207.2770,Final
2026-08-19,2026-08-01,207.2620,Final
2026-08-18,2026-08-01,203.6115,Final
2026-08-17,2026-08-01,205.5839,Final
2026-08-16,2026-08-01,202.5635,Final
2026-08-15,2026-08-01,195.5586,Final
2026-08-14,2026-08-01,192.5295,Final
2026-08-13,2026-08-01,187.9451,Final
2026-08-12,2026-08-01,183.6904,Final
2026-08-11,2026-08-01,183.3915,Final
2026-08-10,2026-08-01,179.2498,Final
2026-08-09,2026-08-01,180.4558,Final
2026-08-08,2026-08-01,181.1239,Final
2026-08-07,2026-08-01,180.2050,Final
2026-08-06,2026-08-01,182.3920,Final
2026-08-05,2026-08-01,185.4602,Final
2026-08-04,2026-08-01,186.7507,Final
2026-08-03,2026-08-01,188.3131,Final
2026-08-02,2026-08-01,189.4375,Final
2026-08-01,2026-08-01,190.6813,Final
2026-07-31,2026-08-01,189.5582,Final
2026-07-30,2026-08-01,189.5965,Final
2026-07-29,2026-08-01,189.5585,Final
2026-07-28,2026-08-01,186.4819,Final
2026-07-27,2026-08-01,184.2163,Final
2026-07-26,2026-08-01,177.0210,Final
